Company Name,Ticker,,as of 9/2017
Shady Hills Power Co LLC,private,,
Reedy Creek Improvement Dist,private,,
NRG Florida LP,NYSE: NRG,,
City of Homestead - (FL),private,,
PowerSouth Energy Cooperative,private,,
Vandolah Power Co LLC,private,,
Florida Power Development,private,,
Tropicana Products Inc,NASDAQ: PEP,,
Rayonier Advanced Materials,NYSE: RYAM,,
Eight Flags Energy LLC,NYSE: CPK,,
G2 Energy LLC,private,,
US Operating Services Company,private,,
Lee County Board-Commissioners,private,,
Mosaic Fertilizer LLC,NYSE: MOS,,
"Southeast Renewable Fuels, LLC",private,,
Pensacola Christian College,private,,
Invenergy Services LLC,private,,
Duke Energy Florida Solar Solutions,NYSE: DUK,,
AEP Onsite Partners,NYSE: AEP,,
APTIM Environmental & Infrastructure,private,,
"Brevard Energy, LLC",private,,
CF Gainesville Owner One LLC,private,,
Harvest Power Orlando LLC,private,,
Georgia-Pacific Consr Ops LLC-Palatka,private,,
Southern Power Co,NYSE: SO,,
United States Sugar Corp,private,,
Tampa Electric Co,TSX: EMA,,
Florida Power & Light Co,NYSE: NEE,,
Solid Waste Authority of Palm Beach Co,private,,
"RP-Orlando, LLC",private,,
"ACE-Stanton, LLC",private,,
Humphrey Realty,private,,
St Joseph's Hospital,private,,
Jacksonville Solar LLC,private,,
City of Lakeland - (FL),private,,
Buckeye Florida Ltd Partners,NYSE: BPL,,
"Seminole Energy, LLC",private,,
New Smyrna Beach Utilities Commission,private,,
NRG DG Lakeland LLC,NYSE: NRG,,
Lockheed Martin Solar System,NYSE: LMS,,
Miami Dade Water & Sewer Dept,private,,
Kissimmee Utility Authority,private,,
RockTenn-Seminole,NYSE: WRK,# WestRock,
Hernando Energy,private,,
Mosaic Company,NYSE: MOS,,
Telogia Power LLC,private,,
City of Lake Worth - (FL),private,,
USCE-Mobile District,private,,
"Florida Keys El Coop Assn, Inc",private,,
Baptist Memorial Hospital,private,,
Hillsborough County,private,,
Bay County Board-County Comm,private,,
Covanta Lake Inc,private,,
New Hope Power Company,000876:CH,# Trades on Shenzhen,
WM Renewable Energy LLC,private,,
Landfill Energy Systems Florida,private,,
Lockheed Martin RMS,NYSE: LMS,,
Gulf Coast Solar Center III (CA),private,,
Pasco County,private,,
Gulf Coast Solar Center I (CA),private,,
"WestRock, Fernandina Beach",private,,
Anheuser-Busch Inc,NYSE: BUD,,
"ACE-Stanton A, LLC",private,,
EthosEnergy Power Plant Services,private,,
"NVT LICENSES, LLC",private,,
JEA,private,,
LES Project Holdings LLC,private,,
"LKL BLBD, LLC",NYSE: BLBD,,
Citrus World Inc (Florida Natural),private,,
City of Tallahassee - (FL),private,,
"Covanta Projects, LLC",NYSE: CVA,,
Santa Rosa Energy Center LLC,private,,
Utility Board of Key West City,private,,
Orlando Utilities Comm,private,,
Gulf Power Co,NYSE: SO,,
WestRock Corp-Panama City,NYSE: WRK,,
"FL Solar 1, LLC",private,,
Fort Pierce Utilities Authority,private,,
Gainesville Regional Utilities,private,,
International Paper Co-Pensacola,NYSE: IP,,
Ascend Performance Materials LLC,private,,
Auburndale Peaker Energy Center LLC,private,,
Wheelabrator Environmental Systems,private,,
Orlando CoGen Ltd LP,NYSE: DUK,,
Manatee County Utilities Department,private,,
Covanta Southeast Florida Renewable Ltd,NYSE: CVA,,
Seminole Electric Cooperative Inc,private,,
Cutrale Citrus Juices USA Inc,NYSE: CQB,,
"The Mosaic Company, Plant City Facility",NYSE: MOS,,
Tampa Wastewater Department,private,,
Port Charlotte Energy LLC,private,,
"Duke Energy Florida, LLC",NYSE: DUK,,
"Solar Park Gainesville, LLC",private,,
Gulf Coast Solar Center II (CA),private,,
Northern Star Generation Services Co LLC,private,,
IKEA Property Inc,private,,
White Springs Agrici Chem Inc,NYSE: POT,,
